id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5EnYT6F7wEcdege6mDHEfO,Signs,Drake,78,rap,0.801000,0.727000,0,-4.687000,1,0.060600,0.086400,0.004060,0.112000,0.218000,107.371000,234373,4
689uBlyIufk2LUhAwjny4w,"Nowadays (feat. Landon Cube)","Lil Skies",87,rap,0.745000,0.646000,6,-6.987000,0,0.170000,0.157000,0,0.338000,0.460000,79.993000,203908,4
0egwbpNUagfbqFuqaPd6jt,Supastars,Migos,72,rap,0.781000,0.678000,1,-4.369000,1,0.059000,0.246000,0,0.076000,0.355000,75.950000,293138,4
4TWAzDJK3z7pdjDOJbT7wS,CC,Migos,70,rap,0.849000,0.726000,9,-6.701000,0,0.185000,0.232000,0,0.093800,0.785000,134.016000,259340,4
3kh6liHZ8IHHRFMHXNJ79Y,"Higher We Go - Intro",Migos,72,rap,0.815000,0.547000,8,-4.041000,1,0.094200,0.076800,0,0.215000,0.183000,152.000000,255849,4
7lQWRAjyhTpCWFC0jmclT4,"Gangsta's Paradise",Coolio,81,rap,0.647000,0.514000,8,-10.050000,1,0.059300,0.065500,0,0.398000,0.387000,79.974000,240693,4
7giJloJaYKHBVnxmck789F,Icon,"Jaden Smith",78,rap,0.573000,0.810000,9,-5.088000,0,0.374000,0.228000,0,0.474000,0.463000,119.978000,220996,4
4dVpf9jZjcORqGTLUaeYj9,"Plain Jane","A$AP Ferg",91,rap,0.797000,0.844000,11,-5.482000,1,0.275000,0.065100,0,0.087000,0.520000,170.142000,173600,4
1gjxuBurykxzaqbDaqKKYU,"Wanted You (feat. Lil Uzi Vert)",NAV,78,rap,0.797000,0.721000,9,-4.912000,0,0.057500,0.174000,0,0.240000,0.627000,146.924000,228080,4
0Pw6Gg8QChw5iSRRSrcWXP,"Opps (with Yugen Blakrok)","Vince Staples",74,rap,0.708000,0.785000,1,-6.809000,1,0.322000,0.152000,0.000082,0.406000,0.854000,128.074000,180893,4
40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I",G-Eazy,82,rap,0.757000,0.672000,0,-6.524000,0,0.095500,0.018600,0,0.158000,0.382000,111.996000,251467,4
5VqJxgZhcDV7OfJ8S2OA0r,"Auto Pilot",Migos,70,rap,0.924000,0.714000,11,-5.795000,1,0.166000,0.074200,0,0.202000,0.261000,129.984000,287992,4
5RRw66jDLIzgIqwA7ABJ9o,Saint,"Huncho Jack",77,rap,0.855000,0.642000,1,-3.701000,1,0.055700,0.009530,0,0.104000,0.069600,150.081000,140793,4
0OI7AFifLSoGzpb8bdBLLV,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","Machine Gun Kelly",89,rap,0.653000,0.718000,3,-5.232000,0,0.213000,0.004130,0,0.053700,0.216000,82.034000,202805,4
6RsWqX8zABZLhZydXxEFOm,"Can't Feel My Face","The Weeknd",78,rap,0.702000,0.770000,9,-5.416000,0,0.048200,0.124000,0,0.103000,0.593000,107.951000,213520,4
5o2r7507gCOYdRMeR3noqZ,"Fake Love",Drake,80,rap,0.928000,0.481000,9,-9.350000,0,0.287000,0.105000,0,0.176000,0.613000,134.007000,210937,4
46gjYTEK7W8ZTABcglGP2f,Jumpman,Drake,75,rap,0.853000,0.558000,1,-7.448000,1,0.202000,0.046200,0,0.341000,0.654000,142.079000,205879,4
06wOQGz4bGB7HETrIjpIep,"Without Me",Eminem,78,rap,0.915000,0.656000,7,-2.827000,1,0.071600,0.002990,0,0.324000,0.642000,112.243000,290227,4
0OMt4Qyetdbw2eUEvKBdHH,"Remind Me",Eminem,76,rap,0.764000,0.867000,4,-3.856000,1,0.296000,0.125000,0,0.717000,0.767000,93.969000,225173,4
4jO6mPzrEfpNvVddyo5eBW,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",72,rap,0.562000,0.738000,1,-4.641000,1,0.320000,0.001090,0,0.162000,0.390000,81.809000,225267,4
